section_number,title,description,chapter,chapter_title,keywords,text_length
1,"Short title, extent and commencement","(1) This Act may be called the Motor Vehicles Act, 1988. (2) It extends to the whole of India. (3) It shall come into force on such date1 as the Central Government may, by notification in the Official Gazette, appoint; and different dates may be appointed for different State and any reference in this Act to the commencement of this Act shall, in relation to a States, be construed as a reference to the coming into force of this Act in that State.",1,Preliminary,"official gazette, short, commencement, central government, extent, india, motor vehicles act, this act, title",449
2,Definitions,"In this Act, unless context otherwise requires,-- 1[(1) ""adapted vehicle"" means a motor vehicle either specially designed and constructed, or to which alterations have been made under sub-section (2) of section 52, for the use of a person suffering from any physical defect or disability, and used solely by or for such person; (1A) ""aggregator"" means a digital intermediary or market place for a passenger to connect with a driver for the purpose of transportation; (1B) ""area"", in relation to any p...",1,Preliminary,"official gazette, driving, registered, motorcab, articulated, transport, golden, owner, conductor, maxicab",11878
2A,e-cart and e-rickshaw,"1[2A. e-cart and e-rickshaw.--(1) Save as otherwise provided in the proviso to sub-section (1) of section 7 and sub-section (10) of section 9, the provisions of this Act shall apply to e-cart and e-rickshaw. (2) For the purposes of this section, ""e-cart or e-rickshaw"" means a special purpose battery powered vehicle of power not exceeding 4000 watts, having three wheels for carrying goods or passengers, as the case may be, for hire or reward, manufactured, constructed or adapted, equipped and mai...",1,Preliminary,"save, cart, rickshaw",585
2B,Promotion of innovation,"1[2B.Promotion of innovation.-- Notwithstanding anything contained in this Act and subject to such conditions as may be prescribed by the Central Government, in order to promote innovation, research and development in the fields of vehicular engineering, mechanically propelled vehicles and transportation in general, the Central Government may exempt certain types of mechanically propelled vehicles from the application of the provisions of this Act.]",1,Preliminary,"promotion, notwithstanding, central government, innovation",453
3,Necessity for driving licence,(1) No person shall drive a motor vehicle in any public place unless he holds an effective driving licence issued to him authorising him to drive the vehicle; and no person shall so drive a transport vehicle [other than 1[a motor cab or motor cycle] hired for his own use or rented under any scheme made under sub-section (2) of section 75] unless his driving licence specifically entitles him so to do. (2) The conditions subject to which sub-section (1) shall not apply to a person receiving instru...,1,Preliminary,"driving, licence, central government, necessity",595
4,Age limit in connection with driving of motor vehicles,"(1) No person under the age of eighteen years shall drive a motor vehicle in any public place: Provided that 1[a motor cycle with engine capacity not exceeding 50cc] may be driven in a public place by a person after attaining the age of sixteen years. (2) Subject to the provisions of section 18, no person under the age of twenty years shall drive a transport vehicle in any public place. (3) No learners licence or driving licence shall be issued to any person to drive a vehicle of the class to wh...",1,Preliminary,"limit, driving, provided, subject, vehicles, motor, connection",603
5,Responsibility of owners of motor vehicles for contravention of sections 3 and 4,No owner or person in charge of a motor vehicle shall cause or permit any person who does not satisfy the provisions of section 3 or section 4 to drive the vehicle.,1,Preliminary,"owners, vehicles, sections, responsibility, motor, contravention",164
6,Restrictions on the holding of driving licences,"(1) No person shall, while he holds any driving licence for the time being in force, hold any other driving licence except a learner’s licence or a driving licence issued in accordance with the provisions of section 18 or a document authorising, in accordance with the rules made under section 139, the person specified therein to drive a motor vehicle. (2) No holder of a driving licence or a learner’s licence shall permit it to be used by any other person. (3) Nothing in this section shall preven...",1,Preliminary,"driving, holding, nothing, restrictions, licences",688
7,Restrictions on the granting of learner's licences for certain vehicles,1[(1) No person shall be granted a learner's licence to drive a transport vehicle unless he has held a driving licence to drive a light motor vehicle for at least one year:] 2[Provided that nothing contained in this sub-section shall apply to an e-cart or e-rickshaw.] (2) No person under the age of eighteen years shall be granted a learner’s licence to drive a motor cycle without gear except with the consent in writing of the person having the care of the person desiring the learner’s licence.,1,Preliminary,"provided, certain, granting, learner, vehicles, restrictions, licences",498
8,Grant of learner's licence,"(1) Any person who is not disqualified under section 4 for driving a motor vehicle and who is not for the time being disqualified for holding or obtaining a driving licence may, subject to the provisions of section 7, apply to 1[any of the licensing authority in the State]-- (i) in which he ordinarily resides or carries on business, or (ii) in which the school or establishment referred to in section 12 from where he intends to receive instruction in driving a motor vehicle is situate, for the is...",1,Preliminary,"every, licence, central government, learner, state, grant",3712
9,Grant of driving licence,"(1) Any person who is not for the time being disqualified for holding or obtaining a driving licence may apply to 1[any licensing authority in the State]-- (i) in which he ordinarily resides or carries on business, or (ii) in which the school or establishment referred to in section 12 from where he is receiving or has received instruction in driving a motor vehicle is situated, for the issue to him of a driving licence. (2) Every application under sub-section (1) shall be in such form and shall ...",1,Preliminary,"driving, every, provided, licence, central government, state, grant",4996
10,Form and contents of licences to drive,"(1) Every learner's licence and driving licence, except a driving licence issued under section 18, shall be in such form and shall contain such information as may be prescribed by the Central Government. (2) A learner’s licence or, as the case may be, driving licence shall also be expressed as entitling the holder to drive a motor vehicle of one or more of the following classes, namely: (a) motor cycle without gear; (b) motor cycle with gear; (c) 1[adapted vehicle]; (d) light motor vehicle; 2[(e...",1,Preliminary,"every, form, drive, central government, contents, licences",584
11,Additions to driving licence,"(1) Any person holding a driving licence to drive any class or description of motor vehicles, who is not for the time being disqualified for holding or obtaining a driving licence to drive any other class or description of motor vehicles, may apply to 1[any licensing authority in the State] in which he resides or carries on his business in such form and accompanied by such documents and with such fees as may be prescribed by the Central Government for the addition of such other class or descript...",2,Licensing of Drivers,"driving, subject, provided, licence, central government, state, additions",1047
12,Licensing and regulation of schools or establishments for imparting instruction in driving of motor vehicles,"(1) The Central Government may make rules for the purpose of licensing and regulating, by the State Governments, schools or establishments (by whatever name called) for imparting instruction in driving of motor vehicles and matters connected therewith. (2) In particular, and without prejudice to the generality of the foregoing power, such rules may provide for all or any of the following matters, namely:-- (a) licensing of such schools or establishments including grant, renewal and revocation of...",2,Licensing of Drivers,"driving, regulation, central government, notwithstanding, establishments, vehicles, imparting, instruction, state governments, motor",3992
13,"Extent of effectiveness of licences, to drive motor vehicles",A learner’s licence or a driving licence issued under this Act shall be effective throughout India.,2,Licensing of Drivers,"effectiveness, drive, extent, india, vehicles, motor, licences",99
14,Currency of licences to drive motor vehicles,"(1) A learner's licence issued under this Act shall, subject to the other provisions of this Act, be effective for a period of six months from the date of issue of the licence. (2) A driving licence issued or renewed under this Act shall,-- (a) in the case of a licence to drive a transport vehicle, be effective for a period of 1[five years]: 2*** 3[Provided that in the case of licence to drive a transport vehicle carrying goods of dangerous or hazardous nature be effective for a period of 4[thre...",2,Licensing of Drivers,"provided, drive, central government, vehicles, motor, currency, licences",1596
15,Renewal of driving licences,"(1) Any licensing authority may, on application made to it, renew a driving licence issued under the provisions of this Act with effect from the date of its expiry: Provided that in any case where the application for the renewal of a licence is made 1[either one year prior to date of its expiry or within one year] after the date of its expiry, the driving licence shall be renewed with effect from the date of its renewal: Provided further that where the application is for the renewal of a licence...",2,Licensing of Drivers,"driving, provided, renewal, central government, licences",2585
16,Revocation of driving licence on grounds of disease or disability,"Notwithstanding anything contained in the foregoing sections, any licensing authority may at any time revoke a driving licence or may require, as a condition of continuing to hold such driving licence, the holder thereof to produce a medical certificate in the same form and in the same manner as is referred to in sub-section (3) of section 8, if the licensing authority has reasonable grounds to belive that the holder of the driving licence is, by virtue of any disease or disability, unfit to dri...",2,Licensing of Drivers,"driving, revocation, licence, notwithstanding, grounds, disability, disease",698
17,Orders refusing or revoking driving licences and appeals therefrom,"(1) Where a licensing authority refuses to issue any learner’s licence or to issue or renew, or revokes, any driving licence, or refuses to add a class or description of motor vehicle to any driving licence, it shall do so by an order communicated to the applicant or the holder, as the case may be, giving the reasons in writing for such refusal or revocation. (2) Any person aggrieved by an order made under sub-section (1) may, within thirty days of the service on him of the order, appeal to the ...",2,Licensing of Drivers,"refusing, orders, revoking, driving, therefrom, appeals, licences",744
18,"Driving Licences to drive motor vehicles, belonging to the Central Government",(1) Such authority as may be prescribed by the Central Government may issue driving licence valid throughout India to persons who have completed their eighteenth year to drive motor vehicles which are the property or for the time being under the exclusive control of the Central Government and are used for Government purposes relating to the defence of the country and unconnected with any commercial enterprise. (2) A driving licence issued under this section shall specify the class or description...,2,Licensing of Drivers,"driving, drive, central government, such, india, central, vehicles, government, motor, belonging",991
