Article_Number,Title,Content,Section,Word_Count,Clause_Count,Keywords,Themes,Has_Amendments,Amendment_Count
1,Name and territory of the Union,"1. Name and territory of the Union (1) India, that is Bharat, shall be a Union of States (2) The States and the territories thereof shall be as specified in the First Schedule (3) The territory of India shall comprise",Unknown,40,2,"territory, india, name, bharat, territories, thereof, specified, first, schedule, comprise",federal_structure,False,0
1,The territories of the States; the Union territories specified in the First Schedule; and such other territories as may be acquired,1. The territories of the States; the Union territories specified in the First Schedule; and such other territories as may be acquired,Unknown,22,0,"territories, specified, first, schedule, other, acquired",federal_structure,False,0
2,Admission or establishment of new States,"2. Admission or establishment of new States: Parliament may by law admit into the Union, or establish, new States on such terms and conditions, as it thinks fit",Unknown,28,0,"admission, establishment, admit, into, establish, terms, conditions, thinks",federal_structure,False,0
2A,"Sikkim to be associated with the Union Replaced by the Constitution Thirty six Amendment Act, 1975, Section 5","2A. Sikkim to be associated with the Union Replaced by the Constitution Thirty six Amendment Act, 1975, Section 5 (with effect from 26 04 1975)",Unknown,25,0,"1975, sikkim, associated, replaced, thirty, amendment, section, effect","federal_structure, amendment",False,0
3,"Formation of new States and alteration of areas, boundaries or names of existing States","3. Formation of new States and alteration of areas, boundaries or names of existing States: Parliament may by law (a) form a new State by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State; (b) increase the area of any State; (c) diminish the area of any State; (d) alter the boundaries of any State; (e) alter the name of any State; Provided that no Bill for the purpose shall be introduced in either House o...",Unknown,236,6,"territory, boundaries, uniting, area, bill, president, period, form, part, alter","federal_structure, governance, amendment",False,0
4,"Laws made under Articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental, incidental and consequential matters","4. Laws made under Articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental, incidental and consequential matters (1) Any law referred to in Article 2 or Article 3 shall contain such provisions for the amendment of the First Schedule and the Fourth Schedule as may be necessary to give effect to the provisions of the law and may also contain such supplemental, incidental and consequential provisions (including provisions as to representation in Parliame...",Unknown,128,1,"provisions, amendment, first, fourth, supplemental, incidental, consequential, contain, schedule, necessary","federal_structure, amendment",False,0
5,Citizenship at the commencement of the Constitution At the commencement of this Constitution every person who has his domicile in the territory of India and,"5. Citizenship at the commencement of the Constitution At the commencement of this Constitution every person who has his domicile in the territory of India and (a) who was born in the territory of India; or (b) either of whose parents was born in the territory of India; or (c) who has been ordinarily resident in the territory of India for not less than five years preceding such commencement, shall be a citizen of India",Unknown,75,3,"india, territory, commencement, born, citizenship, every, person, domicile, either, whose",federal_structure,False,0
6,"Rights of citizenship of certain persons who have migrated to India from Pakistan Notwithstanding anything in Article 5, a person who has migrated to the territory of India from the territory now included in Pakistan shall be deemed to be a citizen of India at the commencement of this Constitution if","6. Rights of citizenship of certain persons who have migrated to India from Pakistan Notwithstanding anything in Article 5, a person who has migrated to the territory of India from the territory now included in Pakistan shall be deemed to be a citizen of India at the commencement of this Constitution if (a) he or either of his parents or any of his grand parents was born in India as defined in the Government of India Act, 1935 (as originally enacted) ; and (b) (i) in the case where such person h...",Unknown,216,2,"india, migrated, person, territory, pakistan, citizen, commencement, parents, case, nineteenth","fundamental_rights, federal_structure",False,0
7,"Rights of citizenship of certain migrants to Pakistan Notwithstanding anything in Articles 5 and 6, a person who has after the first day of March, 1947, migrated from the territory of India to the territory now included in Pakistan shall not be deemed to be a citizen of India","7. Rights of citizenship of certain migrants to Pakistan Notwithstanding anything in Articles 5 and 6, a person who has after the first day of March, 1947, migrated from the territory of India to the territory now included in Pakistan shall not be deemed to be a citizen of India: Provided that nothing in this article shall apply to a person who, after having so migrated to the territory now included in Pakistan, has returned to the territory of India under a permit for resettlement or permanent ...",Unknown,128,1,"territory, india, pakistan, person, migrated, included, deemed, rights, citizenship, certain","fundamental_rights, federal_structure",False,0
8,"Rights of citizenship of certain persons of India origin residing outside India Notwithstanding anything in Article 5, any person who or either of whose parents or any of whose grand parents was born in India as defined in the Government of India Act, 1935","8. Rights of citizenship of certain persons of India origin residing outside India Notwithstanding anything in Article 5, any person who or either of whose parents or any of whose grand parents was born in India as defined in the Government of India Act, 1935 (as originally enacted) , and who is ordinarily residing in any country outside India as so defined shall be deemed to be a citizen of India if he has been registered as a citizen of India by the diplomatic or consular representative of Ind...",Unknown,141,0,"india, residing, outside, whose, parents, defined, country, citizen, diplomatic, consular",fundamental_rights,False,0
9,"Person voluntarily acquiring citizenship of a foreign State not to be citizens No person shall be a citizen of India by virtue of Article 5, or be dee","9. Person voluntarily acquiring citizenship of a foreign State not to be citizens No person shall be a citizen of India by virtue of Article 5, or be deemed to be a citizen of India by virtue of Article 6 or Article 8, if he has voluntarily acquired the citizenship of any foreign State",Unknown,54,0,"person, voluntarily, citizenship, foreign, citizen, india, virtue, acquiring, citizens, deemed",federal_structure,False,0
10,Continuance of the rights of citizenship Every person who is or is deemed to be a citizen of India under any of the foregoing provisions of this Part,"10. Continuance of the rights of citizenship Every person who is or is deemed to be a citizen of India under any of the foregoing provisions of this Part shall, subject to the provisions of any law that may be made by Parliament, continue to be such citizen",Unknown,48,0,"citizen, provisions, continuance, rights, citizenship, every, person, deemed, india, foregoing",fundamental_rights,False,0
