question,answer,context,article_number,type,clause,keyword
What is Article 1 about?,Article 1 is titled 'Name and territory of the Union' and deals with name and territory of the union.,"Article 1: Name and territory of the Union\n(1) India, that is Bharat, shall be a Union of States.\n(2) The States and the territories thereof shall be as specified in the First Schedule.\n(3) The territory of India shall comprise-(a) the territories of the States; (b) the Union territories specified in the First Schedule; and (c) such other territories as may be acquired.",1,general,,
What does clause (1) of Article 1 state?,"India, that is Bharat, shall be a Union of States.","Article 1: Name and territory of the Union\n(1) India, that is Bharat, shall be a Union of States.\n(2) The States and the territories thereof shall be as specified in the First Schedule.\n(3) The territory of India shall comprise-(a) the territories of the States; (b) the Union territories specified in the First Schedule; and (c) such other territories as may be acquired.",1,clause_specific,(1),
What does clause (2) of Article 1 state?,The States and the territories thereof shall be as specified in the First Schedule.,"Article 1: Name and territory of the Union\n(1) India, that is Bharat, shall be a Union of States.\n(2) The States and the territories thereof shall be as specified in the First Schedule.\n(3) The territory of India shall comprise-(a) the territories of the States; (b) the Union territories specified in the First Schedule; and (c) such other territories as may be acquired.",1,clause_specific,(2),
What does clause (3) of Article 1 state?,The territory of India shall comprise-(a) the territories of the States; (b) the Union territories specified in the First Schedule; and (c) such other territories as may be acquired.,"Article 1: Name and territory of the Union\n(1) India, that is Bharat, shall be a Union of States.\n(2) The States and the territories thereof shall be as specified in the First Schedule.\n(3) The territory of India shall comprise-(a) the territories of the States; (b) the Union territories specified in the First Schedule; and (c) such other territories as may be acquired.",1,clause_specific,(3),
Which article deals with acquired territories?,Article 1 (Name and territory of the Union) deals with acquired territories.,"Article 1: Name and territory of the Union\n(1) India, that is Bharat, shall be a Union of States.\n(2) The States and the territories thereof shall be as specified in the First Schedule.\n(3) The territory of India shall comprise-(a) the territories of the States; (b) the Union territories specified in the First Schedule; and (c) such other territories as may be acquired.",1,keyword_based,,acquired territories
Which article deals with territory?,Article 1 (Name and territory of the Union) deals with territory.,"Article 1: Name and territory of the Union\n(1) India, that is Bharat, shall be a Union of States.\n(2) The States and the territories thereof shall be as specified in the First Schedule.\n(3) The territory of India shall comprise-(a) the territories of the States; (b) the Union territories specified in the First Schedule; and (c) such other territories as may be acquired.",1,keyword_based,,territory
Which article deals with First Schedule?,Article 1 (Name and territory of the Union) deals with First Schedule.,"Article 1: Name and territory of the Union\n(1) India, that is Bharat, shall be a Union of States.\n(2) The States and the territories thereof shall be as specified in the First Schedule.\n(3) The territory of India shall comprise-(a) the territories of the States; (b) the Union territories specified in the First Schedule; and (c) such other territories as may be acquired.",1,keyword_based,,First Schedule
What is Article 2 about?,Article 2 is titled 'Admission or establishment of new States' and deals with admission or establishment of new states.,"Article 2: Admission or establishment of new States\nParliament may by law admit into the Union, or establish, new States on such terms and conditions as it thinks fit.",2,general,,
What does clause  of Article 2 state?,"Parliament may by law admit into the Union, or establish, new States on such terms and conditions as it thinks fit.","Article 2: Admission or establishment of new States\nParliament may by law admit into the Union, or establish, new States on such terms and conditions as it thinks fit.",2,clause_specific,,
Which article deals with new States?,Article 2 (Admission or establishment of new States) deals with new States.,"Article 2: Admission or establishment of new States\nParliament may by law admit into the Union, or establish, new States on such terms and conditions as it thinks fit.",2,keyword_based,,new States
