section_number,title,description,chapter,chapter_title,keywords,text_length
1,"Short title, extent and commencement","This Act may be called the Code of Criminal Procedure, 1973. It extends to the whole of India except the State of Jammu and Kashmir; provided that the provisions of this Code, other than those relating to Chapters VIII, X and XI thereof, shall not apply- to the State of Nagaland, to the tribal areas but the concerned State Government may, by notification apply such provisions or any of them to the whole or part of the State of Nagaland or such tribal areas, as the case may be, with such suppleme...",1,Preliminary,"this act, extent, title, criminal procedure, india, commencement, criminal, procedure, short, state",645
2,Definitions,"In this Code, unless the context otherwise requires; “bailable offence” means an offence which is shown as bailable in the First Schedule, or which is made bailable by any other law for the time being in force; and “non-bailable offence” means any other offence; “charge” includes any head of charge when the charge contains more heads than one; “cognizable offence” means an offence for which, and “cognizable case” means a case in which, a police officer may, in accordance with the First Schedule ...",1,Preliminary,"investigation, definitions, magistrate, first schedule, warrant, evidence, criminal, imprisonment, arrest, court",4203
3,Construction of references,"In this Code; any reference, without any qualifying words, to a Magistrate shall be construed, unless the context otherwise requires; in relation to an area outside a metropolitan area, as a reference to a Judicial Magistrate; in relation to a metropolitan area, as a reference to a Metropolitan Magistrate; any reference to a Magistrate of the second class shall, in relation to an area outside a metropolitan area, be construed as a reference to a Judicial Magistrate of the second class, and, in r...",1,Preliminary,"investigation, punishment, construction, magistrate, detention, evidence, metropolitan magistrate, prosecution, court, references",2922
4,Trial of offences under the Indian Penal Code and other laws,"All offences under the Indian Penal Code (45 of 1860) shall be investigated, inquired into, tried, and otherwise dealt with according to the provisions hereinafter contained. All offences under any other law shall be investigated, inquired into, tried, and otherwise dealt with according to the same provisions, but subject to any enactment for the lime being in force regulating the manner or place of investigating, inquiring into, trying or otherwise dealing with such offences.",1,Preliminary,"laws, indian, offences, trial, indian penal code, penal",481
5,Saving,"Nothing contained in this Code shall, in the absence of a specific provision to the contrary, affect any special or local law for the time being in force, or any special jurisdiction or power conferred, or any special form of procedure prescribed, by any other law for the time being in force.",1,Preliminary,"procedure, nothing, jurisdiction, saving",293
6,Classes of Criminal Courts,"Besides the High Courts and the Courts constituted under any law, other than this Code, there shall be, in every State, the following classes of Criminal Courts, namely; Courts of Session; Judicial Magistrate of the first class and, in any Metropolitan area, Metropolitan Magistrate; Judicial Magistrate of the second class; and Executive Magistrates.",2,Constitution of Criminal Courts and Offices,"magistrate, courts, criminal, classes, state, session, besides, high courts",351
7,Territorial divisions,"Every State shall be a sessions division or shall consist of sessions divisions; and every sessions division shall, for the purposes of this Code, be a district or consist of districts; Provided that every metropolitan area shall, for the said purposes, be a separate sessions division and district. The State Government may, after consultation with the High Court, alter the limits or the number of such divisions and districts. The State Government may, after consultation with the High Court, divi...",2,Constitution of Criminal Courts and Offices,"provided, sessions, territorial, divisions, court, state government, every state, high court",758
8,Metropolitan areas,"The State Government may, by notification, declare that, as from such date as may be specified in the notification, any area in the State comprising a city or town whose population exceeds one million shall be a metropolitan area for the purposes of this Code. As from the commencement of this Code, each of the Presidency-towns of Bombay, Calcutta and Madras and the city of Ahmedabad shall be deemed to be declared under Sub-Section (1) to be a metropolitan area. The State Government may, by notif...",2,Constitution of Criminal Courts and Offices,"metropolitan, magistrate, areas, presidency, court, state government, state, trial, inquiry, appeal",1627
9,Court of Session,"The State Government shall establish a Court of Session for every sessions division. Every Court of Session shall be presided over by a Judge, to be appointed by the High Court. The High Court may also appoint Additional Sessions Judges and Assistant Sessions Judges to exercise jurisdiction in a Court of Session. The Sessions Judge of one sessions division may be appointed by the High Court to be also an Additional Sessions Judge of another division, and in such case he may sit for the disposal ...",2,Constitution of Criminal Courts and Offices,"magistrate, witness, prosecution, court, state government, session, every court, jurisdiction, judge, sessions",1538
10,Subordination of Assistant Sessions Judges,"All Assistant Sessions Judges shall be subordinate to the Sessions Judge in whose Court they exercise jurisdiction. The Sessions Judges may, from time to time, make rules consistent with this Code, as to the distribution of business among such Assistant Sessions Judges. The Sessions Judge may also make provision for the disposal of any urgent application, in the event of his absence or inability to act, by an Additional or Assistant Sessions Judge, or, if there be no Additional or Assistant Sess...",2,Constitution of Criminal Courts and Offices,"subordination, judges, magistrate, assistant sessions judges, sessions, sessions judge, court, sessions judges, jurisdiction, judge",652
11,Courts of Judicial Magistrates,"In every district (not being a metropolitan area), there shall be established as many Courts of Judicial Magistrates of the first class and of the second class, and at such places, as the State Government may, after consultation with the High Court, by notification, specify; Provided that the State Government may, after consultation with the High Court, establish, for any local area, one or more Special Courts of Judicial Magistrate of the first class or of the second class to try any particular...",2,Constitution of Criminal Courts and Offices,"magistrate, magistrates, judicial, courts, judicial magistrates, provided, court, state government, jurisdiction, trial",1107
12,"Chief Judicial Magistrate and Additional Chief Judicial Magistrate, etc.","In every district (not being a metropolitan area), the High Court shall appoint a Judicial Magistrate of the first class to the Chief Judicial Magistrate. The High Court may appoint any Judicial Magistrate of the first class to be an Additional Chief Judicial Magistrate, and such Magistrate shall have all or any of the powers of a Chief Judicial Magistrate under this Code or under any other law for the time being in force as the High Court may direct. - The High Court may designate any Judicial ...",2,Constitution of Criminal Courts and Offices,"magistrate, chief judicial magistrate, judicial, chief, court, judicial magistrate, additional, high court",1043
13,Special Judicial Magistrates,"The High Court may, if requested by the Central or State Government so to do, confer upon any person who holds or has held any post under the Government all or any of the powers conferred or conferrable by or under this Code on a Judicial Magistrate[ of the first class or of the second class, in respect to particular cases or to particular classes of cases, in any local area, not being a metropolitan area; Provided that no such power shall be conferred on a person unless he possesses such qualif...",2,Constitution of Criminal Courts and Offices,"government, central, magistrate, magistrates, judicial, special, court, state government, jurisdiction, high court",964
14,Local Jurisdiction of Judicial Magistrates,"Subject to the control of the High Court, the Chief Judicial Magistrate may, from time to time, define the local limits of the areas within which the Magistrates appointed under section 11 or under section 13 may exercise all or any of the powers with which they may respectively be invested under this Code; Provided that the Court of a Special Judicial Magistrate may hold its sitting at any place within the local area for which it is established. Except as otherwise provided by such definition, ...",2,Constitution of Criminal Courts and Offices,"local, chief judicial magistrate, magistrate, magistrates, judicial, subject, court, jurisdiction, session, high court",1272
15,Subordination of Judicial Magistrates,"Every Chief Judicial Magistrate shall be subordinate to the Sessions Judge; and every other Judicial Magistrate shall, subject to the general control of the Sessions Judge, be subordinate to the Chief Judicial Magistrate. The Chief Judicial Magistrate may, from time to time, make rules or give special orders, consistent with this Code, as to the distribution of business among the Judicial Magistrates subordinate to him.",2,Constitution of Criminal Courts and Offices,"subordination, every chief judicial magistrate, chief judicial magistrate, magistrate, magistrates, judicial, sessions judge, judicial magistrate, judge, sessions",423
16,Courts of Metropolitan Magistrates,"In every metropolitan area, there shall be established as many Courts of Metropolitan Magistrates, and at such places, as the State Government may, after consultation with the High Court, by notification, specify. The presiding officers of such Courts shall be appointed by the High Court. The jurisdiction and powers of every Metropolitan Magistrate shall extend throughout the metropolitan area.",2,Constitution of Criminal Courts and Offices,"metropolitan, magistrate, magistrates, courts, metropolitan magistrates, court, state government, jurisdiction, high court",397
17,Chief Metropolitan Magistrate and Additional Chief Metropolitan Magistrate,"The High Court shall, in relation to every metropolitan area within its local jurisdiction, appoint a Metropolitan Magistrate to be the Chief Metropolitan Magistrate for such metropolitan area. The High Court may appoint any Metropolitan Magistrate to be an Additional Chief Metropolitan Magistrate, and such Magistrate shall have all or any of the powers of a Chief Metropolitan Magistrate under this Code or under any other law for the time being in force as the High Court may direct.",2,Constitution of Criminal Courts and Offices,"metropolitan, magistrate, chief, metropolitan magistrate, court, jurisdiction, additional, chief metropolitan magistrate, high court",487
18,Special Metropolitan Magistrates,"The High Court may, if requested by any Central or State Government so to do, confer upon any person who holds or has held any post under the Government, all or any of the powers conferred or conferrable by or under this Code on a Metropolitan Magistrate, in respect to particular cases or to particular classes of cases in any metropolitan area within its local jurisdiction; Provided that no such power shall be conferred on a person unless he possesses such qualification or experience in relation...",2,Constitution of Criminal Courts and Offices,"metropolitan, government, central, magistrate, magistrates, special, court, state government, jurisdiction, high court",983
19,Subordination of Metropolitan Magistrates,"The Chief Metropolitan Magistrate and every Additional Chief Metropolitan Magistrate shall be subordinate to the Sessions Judge, and every other Metropolitan Magistrate shall, subject to the general control of the Sessions Judge, be subordinate to the Chief Metropolitan Magistrate. The High Court may, for the purposes of this Code, define the extent of the subordination if any, of the Additional Chief Metropolitan Magistrates to the Chief Metropolitan Magistrate. The Chief Metropolitan Magistrat...",2,Constitution of Criminal Courts and Offices,"metropolitan, subordination, magistrate, magistrates, metropolitan magistrate, sessions judge, court, additional chief metropolitan magistrate, judge, chief metropolitan magistrate",742
20,Executive Magistrates,"In every district and in every metropolitan area. The State Government may appoint as many persons as it thinks fit to be Executive Magistrates and shall appoint one of them to be the District Magistrate. The State Government may appoint any Executive Magistrate to be an Additional District Magistrate, and such Magistrate shall have the powers of a District Magistrate under this Code or under any other law for the time being in force as may be directed by the State Government. Whenever, in conse...",2,Constitution of Criminal Courts and Offices,"executive magistrates, magistrate, magistrates, district magistrate, state government, executive magistrate, executive",1516
21,Special Executive Magistrates,"The state Government may appoint, for such term as it may think fit, Executive Magistrates, to be known as Special Executive Magistrates for particular areas or for the performance of particular functions and confer on such Special Executive Magistrates such of the powers as are conferrable under this Code on Executive Magistrate, as it may deem fit.",2,Constitution of Criminal Courts and Offices,"government, executive magistrates, magistrate, magistrates, special, special executive magistrates, executive",352
22,Local Jurisdiction of Executive Magistrates,"Subject to the control of the State Government, the District Magistrate may, from time to time, define the local limits of the areas within which the Executive Magistrates may exercise all or any of the powers with which they may be invested under this Code. Except as otherwise provided by such definition, the jurisdiction and powers of every such Magistrate shall extend throughout the district.",2,Constitution of Criminal Courts and Offices,"executive magistrates, local, magistrate, magistrates, district magistrate, subject, jurisdiction, state government, executive",398
