question,answer,context,section_number,chapter,type,keyword,chapter_title
What is Section 1 of IPC about?,"Section 1 is titled 'Title and extent of operation of the Code' and states: This Act shall be called the Indian Penal Code, and shall extend to the whole of India except the State of Jammu and Kashmir.","Section 1: Title and extent of operation of the Code
This Act shall be called the Indian Penal Code, and shall extend to the whole of India except the State of Jammu and Kashmir.",1,1,general,,
Which section deals with title and extent of operation of the code?,"Section 1 deals with title and extent of operation of the code. It states: This Act shall be called the Indian Penal Code, and shall extend to the whole of India except the State of Jammu and Kashmir.","Section 1: Title and extent of operation of the Code
This Act shall be called the Indian Penal Code, and shall extend to the whole of India except the State of Jammu and Kashmir.",1,1,title_based,,
Which section of IPC deals with code?,"Section 1 (Title and extent of operation of the Code) deals with code. This Act shall be called the Indian Penal Code, and shall extend to the whole of India except the State of Jammu and Kashmir.","Section 1: Title and extent of operation of the Code
This Act shall be called the Indian Penal Code, and shall extend to the whole of India except the State of Jammu and Kashmir.",1,1,keyword_based,code,
Which section of IPC deals with shall?,"Section 1 (Title and extent of operation of the Code) deals with shall. This Act shall be called the Indian Penal Code, and shall extend to the whole of India except the State of Jammu and Kashmir.","Section 1: Title and extent of operation of the Code
This Act shall be called the Indian Penal Code, and shall extend to the whole of India except the State of Jammu and Kashmir.",1,1,keyword_based,shall,
Which section of IPC deals with title?,"Section 1 (Title and extent of operation of the Code) deals with title. This Act shall be called the Indian Penal Code, and shall extend to the whole of India except the State of Jammu and Kashmir.","Section 1: Title and extent of operation of the Code
This Act shall be called the Indian Penal Code, and shall extend to the whole of India except the State of Jammu and Kashmir.",1,1,keyword_based,title,
What sections are in Chapter 1 about introduction?,Section 1 is part of Chapter 1 on introduction. This section covers: Title and extent of operation of the Code,"Section 1: Title and extent of operation of the Code
This Act shall be called the Indian Penal Code, and shall extend to the whole of India except the State of Jammu and Kashmir.",1,1,chapter_based,,introduction
What is Section 2 of IPC about?,"Section 2 is titled 'Punishment of offences committed within India' and states: Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India.","Section 2: Punishment of offences committed within India
Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India.",2,1,general,,
Which section deals with punishment of offences committed within india?,"Section 2 deals with punishment of offences committed within india. It states: Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India.","Section 2: Punishment of offences committed within India
Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India.",2,1,title_based,,
Which section of IPC deals with punishment?,"Section 2 (Punishment of offences committed within India) deals with punishment. Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India.","Section 2: Punishment of offences committed within India
Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India.",2,1,keyword_based,punishment,
Which section of IPC deals with within?,"Section 2 (Punishment of offences committed within India) deals with within. Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India.","Section 2: Punishment of offences committed within India
Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India.",2,1,keyword_based,within,
Which section of IPC deals with india?,"Section 2 (Punishment of offences committed within India) deals with india. Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India.","Section 2: Punishment of offences committed within India
Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India.",2,1,keyword_based,india,
What sections are in Chapter 1 about introduction?,Section 2 is part of Chapter 1 on introduction. This section covers: Punishment of offences committed within India,"Section 2: Punishment of offences committed within India
Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India.",2,1,chapter_based,,introduction
What is Section 3 of IPC about?,"Section 3 is titled 'Punishment of offences committed beyond, but which by law may be tried within, India' and states: Any person liable, by any Indian law, to be tried for an offence committed beyond India shall be dealt with according to the provisions of this Code for any act committed beyond India in the same manner as if such act had been committed within India.","Section 3: Punishment of offences committed beyond, but which by law may be tried within, India
Any person liable, by any Indian law, to be tried for an offence committed beyond India shall be dealt with according to the provisions of this Code for any act committed beyond India in the same manner as if such act had been committed within India.",3,1,general,,
"Which section deals with punishment of offences committed beyond, but which by law may be tried within, india?","Section 3 deals with punishment of offences committed beyond, but which by law may be tried within, india. It states: Any person liable, by any Indian law, to be tried for an offence committed beyond India shall be dealt with according to the provisions of this Code for any act committed beyond India in the same manner as if such act had been committed within India.","Section 3: Punishment of offences committed beyond, but which by law may be tried within, India
Any person liable, by any Indian law, to be tried for an offence committed beyond India shall be dealt with according to the provisions of this Code for any act committed beyond India in the same manner as if such act had been committed within India.",3,1,title_based,,
Which section of IPC deals with committed?,"Section 3 (Punishment of offences committed beyond, but which by law may be tried within, India) deals with committed. Any person liable, by any Indian law, to be tried for an offence committed beyond India shall be dealt with according to the provisions of this Code for any act committed beyond India in the same manner as if such act had been committed within India.","Section 3: Punishment of offences committed beyond, but which by law may be tried within, India
Any person liable, by any Indian law, to be tried for an offence committed beyond India shall be dealt with according to the provisions of this Code for any act committed beyond India in the same manner as if such act had been committed within India.",3,1,keyword_based,committed,
Which section of IPC deals with india?,"Section 3 (Punishment of offences committed beyond, but which by law may be tried within, India) deals with india. Any person liable, by any Indian law, to be tried for an offence committed beyond India shall be dealt with according to the provisions of this Code for any act committed beyond India in the same manner as if such act had been committed within India.","Section 3: Punishment of offences committed beyond, but which by law may be tried within, India
Any person liable, by any Indian law, to be tried for an offence committed beyond India shall be dealt with according to the provisions of this Code for any act committed beyond India in the same manner as if such act had been committed within India.",3,1,keyword_based,india,
Which section of IPC deals with beyond?,"Section 3 (Punishment of offences committed beyond, but which by law may be tried within, India) deals with beyond. Any person liable, by any Indian law, to be tried for an offence committed beyond India shall be dealt with according to the provisions of this Code for any act committed beyond India in the same manner as if such act had been committed within India.","Section 3: Punishment of offences committed beyond, but which by law may be tried within, India
Any person liable, by any Indian law, to be tried for an offence committed beyond India shall be dealt with according to the provisions of this Code for any act committed beyond India in the same manner as if such act had been committed within India.",3,1,keyword_based,beyond,
What sections are in Chapter 1 about introduction?,"Section 3 is part of Chapter 1 on introduction. This section covers: Punishment of offences committed beyond, but which by law may be tried within, India","Section 3: Punishment of offences committed beyond, but which by law may be tried within, India
Any person liable, by any Indian law, to be tried for an offence committed beyond India shall be dealt with according to the provisions of this Code for any act committed beyond India in the same manner as if such act had been committed within India.",3,1,chapter_based,,introduction
What is Section 4 of IPC about?,Section 4 is titled 'Extension of Code to extra-territorial offences' and states: The provisions of this Code apply also to any offence committed by:,"Section 4: Extension of Code to extra-territorial offences
The provisions of this Code apply also to any offence committed by:",4,1,general,,
Which section deals with extension of code to extra-territorial offences?,Section 4 deals with extension of code to extra-territorial offences. It states: The provisions of this Code apply also to any offence committed by:,"Section 4: Extension of Code to extra-territorial offences
The provisions of this Code apply also to any offence committed by:",4,1,title_based,,
Which section of IPC deals with code?,Section 4 (Extension of Code to extra-territorial offences) deals with code. The provisions of this Code apply also to any offence committed by:,"Section 4: Extension of Code to extra-territorial offences
The provisions of this Code apply also to any offence committed by:",4,1,keyword_based,code,
Which section of IPC deals with extension?,Section 4 (Extension of Code to extra-territorial offences) deals with extension. The provisions of this Code apply also to any offence committed by:,"Section 4: Extension of Code to extra-territorial offences
The provisions of this Code apply also to any offence committed by:",4,1,keyword_based,extension,
Which section of IPC deals with extra?,Section 4 (Extension of Code to extra-territorial offences) deals with extra. The provisions of this Code apply also to any offence committed by:,"Section 4: Extension of Code to extra-territorial offences
The provisions of this Code apply also to any offence committed by:",4,1,keyword_based,extra,
What sections are in Chapter 1 about introduction?,Section 4 is part of Chapter 1 on introduction. This section covers: Extension of Code to extra-territorial offences,"Section 4: Extension of Code to extra-territorial offences
The provisions of this Code apply also to any offence committed by:",4,1,chapter_based,,introduction
What is Section 5 of IPC about?,"Section 5 is titled 'Certain laws not to be affected by this Act' and states: Nothing in this Act shall affect the provisions of any Act for punishing mutiny and desertion of officers, soldiers, sailors or airmen in the service of the Government of India or the provision of any special or local law.","Section 5: Certain laws not to be affected by this Act
Nothing in this Act shall affect the provisions of any Act for punishing mutiny and desertion of officers, soldiers, sailors or airmen in the service of the Government of India or the provision of any special or local law.",5,1,general,,
Which section deals with certain laws not to be affected by this act?,"Section 5 deals with certain laws not to be affected by this act. It states: Nothing in this Act shall affect the provisions of any Act for punishing mutiny and desertion of officers, soldiers, sailors or airmen in the service of the Government of India or the provision of any special or local law.","Section 5: Certain laws not to be affected by this Act
Nothing in this Act shall affect the provisions of any Act for punishing mutiny and desertion of officers, soldiers, sailors or airmen in the service of the Government of India or the provision of any special or local law.",5,1,title_based,,
Which section of IPC deals with certain?,"Section 5 (Certain laws not to be affected by this Act) deals with certain. Nothing in this Act shall affect the provisions of any Act for punishing mutiny and desertion of officers, soldiers, sailors or airmen in the service of the Government of India or the provision of any special or local law.","Section 5: Certain laws not to be affected by this Act
Nothing in this Act shall affect the provisions of any Act for punishing mutiny and desertion of officers, soldiers, sailors or airmen in the service of the Government of India or the provision of any special or local law.",5,1,keyword_based,certain,
Which section of IPC deals with laws?,"Section 5 (Certain laws not to be affected by this Act) deals with laws. Nothing in this Act shall affect the provisions of any Act for punishing mutiny and desertion of officers, soldiers, sailors or airmen in the service of the Government of India or the provision of any special or local law.","Section 5: Certain laws not to be affected by this Act
Nothing in this Act shall affect the provisions of any Act for punishing mutiny and desertion of officers, soldiers, sailors or airmen in the service of the Government of India or the provision of any special or local law.",5,1,keyword_based,laws,
Which section of IPC deals with affected?,"Section 5 (Certain laws not to be affected by this Act) deals with affected. Nothing in this Act shall affect the provisions of any Act for punishing mutiny and desertion of officers, soldiers, sailors or airmen in the service of the Government of India or the provision of any special or local law.","Section 5: Certain laws not to be affected by this Act
Nothing in this Act shall affect the provisions of any Act for punishing mutiny and desertion of officers, soldiers, sailors or airmen in the service of the Government of India or the provision of any special or local law.",5,1,keyword_based,affected,
What sections are in Chapter 1 about introduction?,Section 5 is part of Chapter 1 on introduction. This section covers: Certain laws not to be affected by this Act,"Section 5: Certain laws not to be affected by this Act
Nothing in this Act shall affect the provisions of any Act for punishing mutiny and desertion of officers, soldiers, sailors or airmen in the service of the Government of India or the provision of any special or local law.",5,1,chapter_based,,introduction
What is Section 6 of IPC about?,"Section 6 is titled 'Definitions in the Code to be understood subject to exceptions' and states: Throughout this Code every definition of an Offence, every penal provision and every illustration of every such definition or penal provision, shall be understood subject to the exceptions contained in the Chapter entitled “General Exceptions”, though those exceptions are not repeated in such definition, penal provision, or illustration.","Section 6: Definitions in the Code to be understood subject to exceptions
Throughout this Code every definition of an Offence, every penal provision and every illustration of every such definition or penal provision, shall be understood subject to the exceptions contained in the Chapter entitled “General Exceptions”, though those exceptions are not repeated in such definition, penal provision, or illustration.",6,2,general,,
Which section deals with definitions in the code to be understood subject to exceptions?,"Section 6 deals with definitions in the code to be understood subject to exceptions. It states: Throughout this Code every definition of an Offence, every penal provision and every illustration of every such definition or penal provision, shall be understood subject to the exceptions contained in the Chapter entitled “General Exceptions”, though those exceptions are not repeated in such definition, penal provision, or illustration.","Section 6: Definitions in the Code to be understood subject to exceptions
Throughout this Code every definition of an Offence, every penal provision and every illustration of every such definition or penal provision, shall be understood subject to the exceptions contained in the Chapter entitled “General Exceptions”, though those exceptions are not repeated in such definition, penal provision, or illustration.",6,2,title_based,,
Which section of IPC deals with exceptions?,"Section 6 (Definitions in the Code to be understood subject to exceptions) deals with exceptions. Throughout this Code every definition of an Offence, every penal provision and every illustration of every such definition or penal provision, shall be understood subject to the exceptions contained in the Chapter entitled “General Exceptions”, though those exceptions are not repeated in such definition, penal provision, or illustration.","Section 6: Definitions in the Code to be understood subject to exceptions
Throughout this Code every definition of an Offence, every penal provision and every illustration of every such definition or penal provision, shall be understood subject to the exceptions contained in the Chapter entitled “General Exceptions”, though those exceptions are not repeated in such definition, penal provision, or illustration.",6,2,keyword_based,exceptions,
Which section of IPC deals with every?,"Section 6 (Definitions in the Code to be understood subject to exceptions) deals with every. Throughout this Code every definition of an Offence, every penal provision and every illustration of every such definition or penal provision, shall be understood subject to the exceptions contained in the Chapter entitled “General Exceptions”, though those exceptions are not repeated in such definition, penal provision, or illustration.","Section 6: Definitions in the Code to be understood subject to exceptions
Throughout this Code every definition of an Offence, every penal provision and every illustration of every such definition or penal provision, shall be understood subject to the exceptions contained in the Chapter entitled “General Exceptions”, though those exceptions are not repeated in such definition, penal provision, or illustration.",6,2,keyword_based,every,
Which section of IPC deals with definition?,"Section 6 (Definitions in the Code to be understood subject to exceptions) deals with definition. Throughout this Code every definition of an Offence, every penal provision and every illustration of every such definition or penal provision, shall be understood subject to the exceptions contained in the Chapter entitled “General Exceptions”, though those exceptions are not repeated in such definition, penal provision, or illustration.","Section 6: Definitions in the Code to be understood subject to exceptions
Throughout this Code every definition of an Offence, every penal provision and every illustration of every such definition or penal provision, shall be understood subject to the exceptions contained in the Chapter entitled “General Exceptions”, though those exceptions are not repeated in such definition, penal provision, or illustration.",6,2,keyword_based,definition,
What sections are in Chapter 2 about general explanations?,Section 6 is part of Chapter 2 on general explanations. This section covers: Definitions in the Code to be understood subject to exceptions,"Section 6: Definitions in the Code to be understood subject to exceptions
Throughout this Code every definition of an Offence, every penal provision and every illustration of every such definition or penal provision, shall be understood subject to the exceptions contained in the Chapter entitled “General Exceptions”, though those exceptions are not repeated in such definition, penal provision, or illustration.",6,2,chapter_based,,general explanations
What is Section 7 of IPC about?,"Section 7 is titled 'Sense of expression once explained' and states: Every expression which is explained in any part of this Code, is used in every part of this Code in conformity with the Explanation.","Section 7: Sense of expression once explained
Every expression which is explained in any part of this Code, is used in every part of this Code in conformity with the Explanation.",7,2,general,,
Which section deals with sense of expression once explained?,"Section 7 deals with sense of expression once explained. It states: Every expression which is explained in any part of this Code, is used in every part of this Code in conformity with the Explanation.","Section 7: Sense of expression once explained
Every expression which is explained in any part of this Code, is used in every part of this Code in conformity with the Explanation.",7,2,title_based,,
Which section of IPC deals with expression?,"Section 7 (Sense of expression once explained) deals with expression. Every expression which is explained in any part of this Code, is used in every part of this Code in conformity with the Explanation.","Section 7: Sense of expression once explained
Every expression which is explained in any part of this Code, is used in every part of this Code in conformity with the Explanation.",7,2,keyword_based,expression,
Which section of IPC deals with explained?,"Section 7 (Sense of expression once explained) deals with explained. Every expression which is explained in any part of this Code, is used in every part of this Code in conformity with the Explanation.","Section 7: Sense of expression once explained
Every expression which is explained in any part of this Code, is used in every part of this Code in conformity with the Explanation.",7,2,keyword_based,explained,
Which section of IPC deals with every?,"Section 7 (Sense of expression once explained) deals with every. Every expression which is explained in any part of this Code, is used in every part of this Code in conformity with the Explanation.","Section 7: Sense of expression once explained
Every expression which is explained in any part of this Code, is used in every part of this Code in conformity with the Explanation.",7,2,keyword_based,every,
What sections are in Chapter 2 about general explanations?,Section 7 is part of Chapter 2 on general explanations. This section covers: Sense of expression once explained,"Section 7: Sense of expression once explained
Every expression which is explained in any part of this Code, is used in every part of this Code in conformity with the Explanation.",7,2,chapter_based,,general explanations
What is Section 8 of IPC about?,"Section 8 is titled 'Gender' and states: The pronoun “he” and its derivatives are used for any person, whether male or female.","Section 8: Gender
The pronoun “he” and its derivatives are used for any person, whether male or female.",8,2,general,,
Which section deals with gender?,"Section 8 deals with gender. It states: The pronoun “he” and its derivatives are used for any person, whether male or female.","Section 8: Gender
The pronoun “he” and its derivatives are used for any person, whether male or female.",8,2,title_based,,
Which section of IPC deals with gender?,"Section 8 (Gender) deals with gender. The pronoun “he” and its derivatives are used for any person, whether male or female.","Section 8: Gender
The pronoun “he” and its derivatives are used for any person, whether male or female.",8,2,keyword_based,gender,
Which section of IPC deals with pronoun?,"Section 8 (Gender) deals with pronoun. The pronoun “he” and its derivatives are used for any person, whether male or female.","Section 8: Gender
The pronoun “he” and its derivatives are used for any person, whether male or female.",8,2,keyword_based,pronoun,
Which section of IPC deals with derivatives?,"Section 8 (Gender) deals with derivatives. The pronoun “he” and its derivatives are used for any person, whether male or female.","Section 8: Gender
The pronoun “he” and its derivatives are used for any person, whether male or female.",8,2,keyword_based,derivatives,
What sections are in Chapter 2 about general explanations?,Section 8 is part of Chapter 2 on general explanations. This section covers: Gender,"Section 8: Gender
The pronoun “he” and its derivatives are used for any person, whether male or female.",8,2,chapter_based,,general explanations
What is Section 9 of IPC about?,"Section 9 is titled 'Number' and states: Unless the contrary appears from the context, words importing the singular number include the plural number, and words importing the plural number include the singular number.","Section 9: Number
Unless the contrary appears from the context, words importing the singular number include the plural number, and words importing the plural number include the singular number.",9,2,general,,
